,Model number,sSpec number,Cores,Frequency,Turbo,L2 cache,L3 cache,TDP,Socket,I/O bus,Memory,Release date,Part number(s),Release price (USD),Cores (threads),Turbo Boost all-core/2.0 (/max. 3.0),GPU model,GPU frequency,vteIntel processors,vteIntel processors.1,Turbo Boost all-core/2.0),FSB,Mult.,Voltage,Mult,Front side bus,Multiplier,Release price,L2 Cache,Turbo Boost all-core/max turbo,Turbo Boost all-core/max turbo 2.0/max turbo 3.0
906,Xeon E3-1275 v6,SR32A (B0),,3.8 GHz,4.2 GHz,4 × 256 KB,8 MB,73 W,LGA 1151,DMI 3.0,,March 2017,BX80677E31275V6 CM8067702870931,$339,4 (8),,HD Graphics P630,350–1150 MHz,,,,,,,,,,,,,
907,Xeon E3-1280 v6,SR325 (B0),,3.9 GHz,4.2 GHz,4 × 256 KB,8 MB,72 W,LGA 1151,DMI 3.0,,March 2017,CM8067702870647,$383,4 (8),,—,—,,,,,,,,,,,,,
908,Xeon E3-1285 v6,SR373 (B0),,4.1 GHz,4.5 GHz,4 × 256 KB,8 MB,79 W,LGA 1151,DMI 3.0,,August 2017,CM8067702870937,$450,4 (8),,HD Graphics P630,350–1150 MHz,,,,,,,,,,,,,
910,Xeon E3-1505M v6,SR32K (B0),,3 GHz,6/7/8/10,4 × 256 KB,8 MB,45 W,BGA 1440,DMI 3.0,,January 2017,CL8067702869709,$434,4 (8),,HD Graphics P630,350–1100 MHz,,,,,,,,,,,,,
911,Xeon E3-1535M v6,SR32H (B0),,3.1 GHz,8/9/10/11,4 × 256 KB,8 MB,45 W,BGA 1440,DMI 3.0,,January 2017,CL8067702869614,$623,4 (8),,HD Graphics P630,350–1100 MHz,,,,,,,,,,,,,
913,Xeon E3-1501M v6,SR3F0 (B0),,2.9 GHz,3.6 GHz,4 × 256 KB,6 MB,45 W,BGA 1440,DMI 3.0,,June 2017,CL8067703401003,$306,4 (4),,HD Graphics P630,350–1000 MHz,,,,,,,,,,,,,
915,Xeon E3-1501L v6,SR3EZ (B0),,2.1 GHz,2.9 GHz,4 × 256 KB,6 MB,25 W,BGA 1440,DMI 3.0,,June 2017,CL8067703400904,$306,4 (4),,HD Graphics P630,350–1000 MHz,,,,,,,,,,,,,
916,Xeon E3-1505L v6,SR34X (B0),,2.2 GHz,3.0 GHz,4 × 256 KB,8 MB,25 W,BGA 1440,DMI 3.0,,January 2017,CL8067703022209,$433,4 (8),,HD Graphics P630,350–1000 MHz,,,,,,,,,,,,,
918,Xeon X3430,SLBLJ (B1),4,2.4 GHz,1/1/2/3,4 × 256 KB,8 MB,95 W,LGA 1156,DMI,2 × DDR3-1333,"September 8, 2009",BX80605X3430 BV80605001914AG,$189,,,,,,,,,18×,0.65–1.40 V,,,,,,,
919,Xeon X3440,SLBLF (B1),4,2.53 GHz,1/1/2/3,4 × 256 KB,8 MB,95 W,LGA 1156,DMI,2 × DDR3-1333,"September 8, 2009",BX80605X3440 BV80605002517AQ,$215,,,,,,,,,19×,0.65–1.40 V,,,,,,,
920,Xeon X3450,SLBLD (B1),4,2.67 GHz,1/1/4/4,4 × 256 KB,8 MB,95 W,LGA 1156,DMI,2 × DDR3-1333,"September 8, 2009",BX80605X3450 BV80605001911AQ,$241,,,,,,,,,20×,0.65–1.40 V,,,,,,,
921,Xeon X3460,SLBJK (B1),4,2.8 GHz,1/1/4/5,4 × 256 KB,8 MB,95 W,LGA 1156,DMI,2 × DDR3-1333,"September 8, 2009",BX80605X3460 BV80605001908AL,$316,,,,,,,,,21×,0.65–1.40 V,,,,,,,
922,Xeon X3470,SLBJH (B1),4,2.93 GHz,2/2/4/5,4 × 256 KB,8 MB,95 W,LGA 1156,DMI,2 × DDR3-1333,"September 8, 2009",BX80605X3470 BV80605001905AJ,$589,,,,,,,,,22×,0.65–1.40 V,,,,,,,
923,Xeon X3480,SLBPT (B1),4,3.07 GHz,2/2/4/5,4 × 256 KB,8 MB,95 W,LGA 1156,DMI,2 × DDR3-1333,"May 30, 2010",BX80605X3480 BV80605002505AH,$612,,,,,,,,,23×,0.65–1.40 V,,,,,,,
925,Xeon L3426,SLBN3 (B1),4,1.87 GHz,2/2/9/10,4 × 256 KB,8 MB,45 W,LGA 1156,DMI,2 × DDR3-1333,"September 8, 2009",BX80605L3426 BV80605004737AA,$284,,,,,,,,,14×,0.65–1.40 V,,,,,,,
927,Xeon W3503,SLBGD (D0),2,2.4 GHz,—,2× 256 KB,4 MB,130 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80601002868AA,OEM,,,,,,,,,18×,0.8–1.225 V,,,,,,,
928,Xeon W3505,SLBGC (D0),2,2.53 GHz,—,2× 256 KB,4 MB,130 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80601002865AA,OEM,,,,,,,,,19×,0.8–1.225 V,,,,,,,
930,Xeon W3520,SLBEW (D0),4,2.67 GHz,1/1/1/2,4 × 256 KB,8 MB,130 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80601000741AB,$284,,,,,,,,,20×,0.8–1.375 V,,,,,,,
931,Xeon W3530,SLBKR (D0),4,2.8 GHz,1/1/1/2,4 × 256 KB,8 MB,130 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"March 16, 2010",AT80601000897AB,$294,,,,,,,,,21×,0.8–1.375 V,,,,,,,
932,Xeon W3540,SLBEX (D0),4,2.93 GHz,1/1/1/2,4 × 256 KB,8 MB,130 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80601000921AB,$562,,,,,,,,,22×,0.8–1.375 V,,,,,,,
933,Xeon W3550,SLBEY (D0),4,3.07 GHz,1/1/1/2,4 × 256 KB,8 MB,130 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"August 9, 2009",AT80601002112AB,$562,,,,,,,,,23×,0.8–1.375 V,,,,,,,
934,Xeon W3565,SLBEV (D0),4,3.2 GHz,1/1/1/2,4 × 256 KB,8 MB,130 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"November 1, 2009",AT80601002727AB,$562,,,,,,,,,24×,0.8–1.225 V,,,,,,,
935,Xeon W3570,SLBES (D0),4,3.2 GHz,1/1/1/2,4 × 256 KB,8 MB,130 W,LGA 1366,1 × 6.4 GT/s QPI,3 × DDR3-1333,"March 30, 2009",AT80601000918AB,$999,,,,,,,,,24×,0.8–1.375 V,,,,,,,
936,Xeon W3580,SLBET (D0),4,3.33 GHz,1/1/1/2,4 × 256 KB,8 MB,130 W,LGA 1366,1 × 6.4 GT/s QPI,3 × DDR3-1333,"August 9, 2009",AT80601002274AB,$999,,,,,,,,,25×,0.8–1.375 V,,,,,,,
938,Xeon LC3518,SLBWH (B0),1,1.73 GHz,—,1 × 256 KB,2 MB,23 W,LGA 1366,DMI,2× DDR3-800,"February 11, 2010",AT80612002946AA,$192,,,,,,,,,13×,0.75–1.35 V,,,,,,,
940,Xeon LC3528,SLBWG (B0),2,1.73 GHz,1866 MHz,2 × 256 KB,4 MB,35 W,LGA 1366,DMI,2× DDR3-800,"February 11, 2010",AT80612002931AB,$302,,,,,,,,,13×,0.75–1.35 V,,,,,,,
942,Xeon EC3539,SLBWJ (B0),4,2.13 GHz,—,4 × 256 KB,8 MB,65 W,LGA 1366,DMI,3 × DDR3-1066,"February 11, 2010",AT80612003090AA,$302,,,,,,,,,16×,0.75–1.35 V,,,,,,,
944,Xeon L3403[4][5],SLBT9 (K0) SLBRX (C2),2,2 GHz,—,2 × 256 KB,4 MB,30 W,LGA 1156,DMI,2 × DDR3-1066,October 2010,CM80616005496AB,OEM,,,,—,,,,,15×,0.65–1.40 V,,,,,,,
945,Xeon L3406,SLBT8 (K0) SLBQQ (C2),2,2.27 GHz,2.53 GHz,2 × 256 KB,4 MB,30 W,LGA 1156,DMI,2 × DDR3-1066,"March 16, 2010",CM80616005010AA BX80616L3406,$189,,,,—,,,,,17×,0.65–1.40 V,,,,,,,
947,Xeon W3670,SLBVE (B1),6,3.2 GHz,1/1/1/1/2/2,6 × 256 KB,12 MB,130 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"August 29, 2010",AT80613005490AC BX80613W3670,$885,,,,,,,,,24×,0.8–1.375 V,,,,,,,
948,Xeon W3680,SLBV2 (B1),6,3.33 GHz,1/1/1/1/2/2,6 × 256 KB,12 MB,130 W,LGA 1366,1 × 6.4 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80613003543AF BX80613W3680,$999,,,,,,,,,25×,0.8–1.375 V,,,,,,,
949,Xeon W3690,SLBW2 (B1),6,3.47 GHz,1/1/1/1/2/2,6 × 256 KB,12 MB,130 W,LGA 1366,1 × 6.4 GT/s QPI,3 × DDR3-1333,"February 14, 2011",AT80613005931AB BX80613W3690,$999,,,,,,,,,26×,0.8–1.375 V,,,,,,,
951,Xeon E5502,SLBEZ (D0),2,1.87 GHz,—,2× 256 KB,4 MB,80 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-800,"March 30, 2009",AT80602000804AA,$188,,,,,,,,,14×,0.75–1.35 V,,,,,,,
952,Xeon E5503,SLBKD (D0),2,2 GHz,—,2× 256 KB,4 MB,80 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-800,"March 16, 2010",AT80602003636AA,$224,,,,,,,,,15×,0.75–1.35 V,,,,,,,
954,Xeon L5508,SLBGK (D0),2,2 GHz,2/3,2× 256 KB,8 MB,38 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80602002697AC,$440,,,,,,,,,15×,0.75–1.35 V,,,,,,,
956,Xeon E5504,SLBF9 (D0),4,2 GHz,—,4 × 256 KB,4 MB,80 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-800,"March 30, 2009",AT80602000801AA,$224,,,,,,,,,15×,0.75–1.35 V,,,,,,,
957,Xeon E5506,SLBF8 (D0),4,2.13 GHz,—,4 × 256 KB,4 MB,80 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-800,"March 30, 2009",AT80602000798AA,$266,,,,,,,,,16×,0.75–1.35 V,,,,,,,
958,Xeon E5507,SLBKC (D0),4,2.27 GHz,—,4 × 256 KB,4 MB,80 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-800,"March 16, 2010",AT80602000795AA,$266,,,,,,,,,17×,0.75–1.35 V,,,,,,,
959,Xeon E5520,SLBFD (D0),4,2.27 GHz,1/1/1/2,4 × 256 KB,8 MB,80 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80602002091AA,$373,,,,,,,,,17×,0.75–1.35 V,,,,,,,
960,Xeon E5530,SLBF7 (D0),4,2.4 GHz,1/1/1/2,4 × 256 KB,8 MB,80 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80602000792AA,$530,,,,,,,,,18×,0.75–1.35 V,,,,,,,
961,Xeon E5540,SLBF6 (D0),4,2.53 GHz,1/1/1/2,4 × 256 KB,8 MB,80 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80602000789AA,$774,,,,,,,,,19×,0.75–1.35 V,,,,,,,
962,Xeon X5550,SLBF5 (D0),4,2.67 GHz,2/2/3/3,4 × 256 KB,8 MB,95 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 30, 2009",AT80602000771AA,$958,,,,,,,,,20×,0.75–1.35 V,,,,,,,
963,Xeon X5560,SLBF4 (D0),4,2.8 GHz,2/2/3/3,4 × 256 KB,8 MB,95 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 30, 2009",AT80602000768AA,$1172,,,,,,,,,21×,0.75–1.35 V,,,,,,,
964,Xeon X5570,SLBF3 (D0),4,2.93 GHz,2/2/3/3,4 × 256 KB,8 MB,95 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 30, 2009",AT80602000765AA,$1386,,,,,,,,,22×,0.75–1.35 V,,,,,,,
965,Xeon W5580,SLBF2 (D0),4,3.2 GHz,1/1/1/2,4 × 256 KB,8 MB,130 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 30, 2009",AT80602000756AD,$1600,,,,,,,,,24×,0.75–1.35 V,,,,,,,
966,Xeon W5590,SLBGE (D0),4,3.33 GHz,1/1/1/2,4 × 256 KB,8 MB,130 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"August 9, 2009",AT80602000753AA,$1600,,,,,,,,,25×,0.75–1.35 V,,,,,,,
968,Xeon L5506,SLBFH (D0),4,2.13 GHz,—,4 × 256 KB,4 MB,60 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-800,"March 30, 2009",AT80602002712AA,$423,,,,,,,,,16×,0.75–1.35 V,,,,,,,
969,Xeon L5518,SLBFW (D0),4,2.13 GHz,1/1/1/2,4 × 256 KB,8 MB,60 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80602002265AB,$551,,,,,,,,,16×,0.75–1.35 V,,,,,,,
970,Xeon L5520,SLBFA (D0),4,2.27 GHz,1/1/1/2,4 × 256 KB,8 MB,60 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 30, 2009",AT80602000810AA,$530,,,,,,,,,17×,0.75–1.35 V,,,,,,,
971,Xeon L5530,SLBGF (D0),4,2.4 GHz,1/1/1/2,4 × 256 KB,8 MB,60 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"August 9, 2009",AT80602002927AB,$744,,,,,,,,,18×,0.75–1.35 V,,,,,,,
973,Xeon EC5539,SLBWL (B0),2,2.27 GHz,—,2 × 256 KB,4 MB,65 W,LGA 1366,1 × 5.86 GT/s QPI,3 × DDR3-1333,"February 12, 2010",AT80612003861AB,$388,,,,,,,,,17×,0.75–1.35 V,,,,,,,
975,Xeon EC5509,SLBWM (B0),4,2 GHz,—,4 × 256 KB,8 MB,85 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"February 12, 2010",AT80612004740AA,$266,,,,,,,,,15×,0.75–1.35 V,,,,,,,
976,Xeon EC5549,SLBWP (B0),4,2.53 GHz,2933 MHz,4 × 256 KB,8 MB,85 W,LGA 1366,1 × 5.86 GT/s QPI,3 × DDR3-1333,"February 12, 2010",AT80612005712AB,$530,,,,,,,,,19×,0.75–1.35 V,,,,,,,
978,Xeon LC5518,SLBWF (B0),4,1.73 GHz,2133 MHz,4 × 256 KB,8 MB,48 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"February 12, 2010",AT80612002928AC,$519,,,,,,,,,13×,0.75–1.35 V,,,,,,,
979,Xeon LC5528,SLBWK (B0),4,2.13 GHz,2533 MHz,4 × 256 KB,8 MB,60 W,LGA 1366,1 × 4.8 GT/s QPI,3 × DDR3-1066,"February 12, 2010",AT80612003858AA,$519,,,,,,,,,16×,0.75–1.35 V,,,,,,,
981,Xeon X5698,SLC32 (B1),2,4.4 GHz,0/1,2 × 256 KB,12 MB,130 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"Q1, 2011",AT80614007314AA,OEM,,,,,,,,,33×,0.75–1.35 V,,,,,,,
983,Xeon E5603,SLC2F (B1),4,1.6 GHz,—,4 × 256 KB,4 MB,80 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-1066,"February 14, 2011",AT80614006954AA BX80614E5603,$188,,,,,,,,,12×,0.75–1.35 V,,,,,,,
984,Xeon E5606,SLC2N (B1),4,2.13 GHz,—,4 × 256 KB,8 MB,80 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-1066,"February 14, 2011",AT80614007290AE BX80614E5606,$219,,,,,,,,,16×,0.75–1.35 V,,,,,,,
985,Xeon E5607,SLBZ9 (B1),4,2.27 GHz,—,4 × 256 KB,8 MB,80 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-1066,"February 14, 2011",AT80614006789AA BX80614E5607,$276,,,,,,,,,17×,0.75–1.35 V,,,,,,,
986,Xeon E5620,SLBV4 (B1),4,2.4 GHz,1/1/2/2,4 × 256 KB,12 MB,80 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 16, 2010",AT80614005073AB BX80614E5620,$387,,,,,,,,,18×,0.75–1.35 V,,,,,,,
987,Xeon E5630,SLBVB (B1),4,2.53 GHz,1/1/2/2,4 × 256 KB,12 MB,80 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 16, 2010",AT80614005463AA BX80614E5630,$551,,,,,,,,,19×,0.75–1.35 V,,,,,,,
988,Xeon E5640,SLBVC (B1),4,2.67 GHz,1/1/2/2,4 × 256 KB,12 MB,80 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 16, 2010",AT80614005466AA BX80614E5640,$774,,,,,,,,,20×,0.75–1.35 V,,,,,,,
989,Xeon X5647,SLBZ7 (B1),4,2.93 GHz,1/1/2/2,4 × 256 KB,12 MB,130 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"February 14, 2011",AT80614006780AA,$774,,,,,,,,,22×,0.75–1.35 V,,,,,,,
990,Xeon X5667,SLBVA (B1),4,3.07 GHz,2/2/3/3,4 × 256 KB,12 MB,95 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80614005154AB,$1440,,,,,,,,,23×,0.75–1.35 V,,,,,,,
991,Xeon X5672,SLBYK (B1),4,3.2 GHz,2/2/3/3,4 × 256 KB,12 MB,95 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"February 14, 2011",AT80614005922AA,$1440,,,,,,,,,24×,0.75–1.35 V,,,,,,,
992,Xeon X5677,SLBV9 (B1),4,3.47 GHz,1/1/2/2,4 × 256 KB,12 MB,130 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80614005145AB,$1663,,,,,,,,,26×,0.75–1.35 V,,,,,,,
993,Xeon X5687,SLBVY (B1),4,3.6 GHz,1/1/2/2,4 × 256 KB,12 MB,130 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"February 14, 2011",AT80614005919AB,$1663,,,,,,,,,27×,0.75–1.35 V,,,,,,,
995,Xeon L5609,SLBVJ (B1),4,1.87 GHz,—,4 × 256 KB,12 MB,40 W,LGA 1366,2 × 4.8 GT/s QPI,3 × DDR3-1066,"March 16, 2010",AT80614005940AA,$440,,,,,,,,,14×,0.75–1.35 V,,,,,,,
996,Xeon L5618,SLBX3 (B1),4,1.87 GHz,1/1/2/3,4 × 256 KB,12 MB,40 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 16, 2010",AT80614005079AB,$530,,,,,,,,,14×,0.75–1.35 V,,,,,,,
997,Xeon L5630,SLBVD (B1),4,2.13 GHz,1/1/2/2,4 × 256 KB,12 MB,40 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1066,"March 16, 2010",AT80614005484AA,$551,,,,,,,,,16×,0.75–1.35 V,,,,,,,
999,Xeon E5645,SLBWZ (B1),6,2.4 GHz,1/1/1/1/2/2,6 × 256 KB,12 MB,80 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80614003597AC,$551,,,,,,,,,18×,0.75–1.35 V,,,,,,,
1000,Xeon E5649,SLBZ8 (B1),6,2.53 GHz,1/1/2/2/3/3,6 × 256 KB,12 MB,80 W,LGA 1366,2 × 5.86 GT/s QPI,3 × DDR3-1333,"February 14, 2011",AT80614006783AB BX80614E5649,$774,,,,,,,,,19×,0.75–1.35 V,,,,,,,
1001,Xeon X5650,SLBV3 (B1),6,2.67 GHz,2/2/2/2/3/3,6 × 256 KB,12 MB,95 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80614004320AD BX80614X5650,$996,,,,,,,,,20×,0.75–1.35 V,,,,,,,
1002,Xeon X5660,SLBV6 (B1),6,2.8 GHz,2/2/2/2/3/3,6 × 256 KB,12 MB,95 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80614005127AA BX80614X5660,$1219,,,,,,,,,21×,0.75–1.35 V,,,,,,,
1003,Xeon X5670,SLBV7 (B1),6,2.93 GHz,2/2/2/2/3/3,6 × 256 KB,12 MB,95 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"March 16, 2010",AT80614005130AA BX80614X5670,$1440,,,,,,,,,22×,0.75–1.35 V,,,,,,,
1004,Xeon X5675,SLBYL (B1),6,3.07 GHz,2/2/2/2/3/3,6 × 256 KB,12 MB,95 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1333,"February 14, 2011",AT80614006696AA BX80614X5675,$1440,,,,,,,,,23×,0.75–1.35 V,,,,,,,
1005,Xeon X5679,SLC2E (B1),6,3.2 GHz,1/1/1/1/2/2,6 × 256 KB,12 MB,115 W,LGA 1366,2 × 6.4 GT/s QPI,3 × DDR3-1066,"February 14, 2011",AT80614006924AA,OEM,,,,,,,,,24×,0.75–1.35 V,,,,,,,
